event_id,timestamp,vehicle_model,vin,station,joint,tool_id,target_torque_nm,tolerance_nm,actual_torque_nm,angle_required,actual_angle_deg,sop_id,sop_chunks_used,result,violations,tool_error
EVT-000001,2026-03-03T06:01:10.000Z,Sedan-X,VIN9963334018,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,121.6,,,SOP-GEN-0070,[],OK,[],
EVT-000002,2026-03-03T06:01:49.000Z,Hatch-A,VIN9703905715,POWERTRAIN_ST-05,WHEEL_LUG_NUT_FL,MANUAL_WRENCH,120,10,120.3,,,SOP-GEN-0022,[],OK,[],
EVT-000003,2026-03-03T06:02:33.000Z,Hatch-A,VIN8293453178,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,84.2,30.0,30.4,SOP-GEN-0036,[],OK,[],
EVT-000004,2026-03-03T06:03:52.000Z,EV-Q,VIN5710360983,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,85.4,30.0,32.5,SOP-GEN-0006,[],OK,[],
EVT-000005,2026-03-03T06:05:12.000Z,EV-Q,VIN9928378856,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,119.7,,,SOP-GEN-0026,[],OK,[],
EVT-000006,2026-03-03T06:05:57.000Z,SUV-Z,VIN5231494220,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,83.8,15.0,16.0,SOP-GEN-0010,[],OK,[],
EVT-000007,2026-03-03T06:07:04.000Z,SUV-Z,VIN5993561321,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,40.2,,,SOP-GEN-0014,[],OK,[],
EVT-000008,2026-03-03T06:07:56.000Z,Hatch-A,VIN2051454923,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,44.5,15.0,12.8,SOP-GEN-0020,[],OK,[],
EVT-000009,2026-03-03T06:09:17.000Z,SUV-Z,VIN4332894265,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,46.4,15.0,14.9,SOP-GEN-0020,[],OK,[],
EVT-000010,2026-03-03T06:10:12.000Z,Truck-T,VIN2351531223,POWERTRAIN_ST-05,SUSPENSION_ARM_BOLT_R,DC_GUN,100,5,99.7,,,SOP-GEN-0034,[],OK,[],
EVT-000011,2026-03-03T06:11:22.000Z,EV-Q,VIN5908596099,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,40.2,,,SOP-GEN-0014,[],OK,[],
EVT-000012,2026-03-03T06:12:08.000Z,SUV-Z,VIN5284391408,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,45.0,15.0,13.4,SOP-GEN-0020,[],OK,[],
EVT-000013,2026-03-03T06:13:35.000Z,Hatch-A,VIN5567816720,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,120.1,,,SOP-GEN-0071,[],OK,[],
EVT-000014,2026-03-03T06:14:26.000Z,Sedan-X,VIN8047877267,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.0,15.0,15.1,SOP-GEN-0020,[],OK,[],
EVT-000015,2026-03-03T06:15:22.000Z,Sedan-X,VIN4919706735,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,44.9,,,SOP-GEN-0073,[],OK,[],
EVT-000016,2026-03-03T06:15:57.000Z,Truck-T,VIN4944899549,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,84.6,30.0,30.6,SOP-GEN-0006,[],OK,[],
EVT-000017,2026-03-03T06:17:35.000Z,SUV-Z,VIN2028439863,POWERTRAIN_ST-05,BATTERY_HOLD_DOWN,PNEUMATIC_TQ,65,5,67.3,,,SOP-GEN-0023,[],OK,[],
EVT-000018,2026-03-03T06:18:09.000Z,Sedan-X,VIN1540137296,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,120.6,,,SOP-GEN-0071,[],OK,[],
EVT-000019,2026-03-03T06:18:54.000Z,Truck-T,VIN3962958940,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.7,15.0,14.6,SOP-GEN-0020,[],OK,[],
EVT-000020,2026-03-03T06:20:05.000Z,Hatch-A,VIN5569956444,INTERIOR_ST-08,SUSPENSION_ARM_BOLT_F,DC_GUN,100,5,98.9,,,SOP-GEN-0016,[],OK,[],
EVT-000021,2026-03-03T06:20:47.000Z,Sedan-X,VIN3208283728,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,91.8,30.0,32.5,SOP-GEN-0036,[],OverTorque,"[""over_torque""]",
EVT-000022,2026-03-03T06:22:09.000Z,Truck-T,VIN3030106617,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,83.9,15.0,14.5,SOP-GEN-0010,[],OK,[],
EVT-000023,2026-03-03T06:23:42.000Z,EV-Q,VIN4131356954,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,83.0,15.0,14.2,SOP-GEN-0010,[],OK,[],
EVT-000024,2026-03-03T06:25:18.000Z,SUV-Z,VIN1469306919,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,118.4,,,SOP-GEN-0026,[],OK,[],
EVT-000025,2026-03-03T06:25:55.000Z,Sedan-X,VIN3363629219,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,45.4,,,SOP-GEN-0066,[],OK,[],
EVT-000026,2026-03-03T06:26:16.000Z,Hatch-A,VIN6009268066,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,121.0,,,SOP-GEN-0071,[],OK,[],
EVT-000027,2026-03-03T06:27:11.000Z,Sedan-X,VIN9526836552,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,86.4,15.0,12.6,SOP-GEN-0010,[],OK,[],
EVT-000028,2026-03-03T06:28:31.000Z,Truck-T,VIN3090237817,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,57.8,,,SOP-GEN-0031,[],OK,[],
EVT-000029,2026-03-03T06:29:16.000Z,SUV-Z,VIN1245522987,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,86.2,15.0,13.4,SOP-GEN-0010,[],OK,[],
EVT-000030,2026-03-03T06:30:58.000Z,Sedan-X,VIN3555656321,FINAL_ASSY_ST-22,ENGINE_MOUNT_REAR_LEFT,MANUAL_WRENCH,85,5,84.4,30.0,27.1,SOP-GEN-0003,[],OK,[],
EVT-000031,2026-03-03T06:32:38.000Z,Truck-T,VIN3553440342,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,39.9,,,SOP-GEN-0014,[],OK,[],
EVT-000032,2026-03-03T06:33:34.000Z,SUV-Z,VIN8370987661,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,44.3,,,SOP-GEN-0073,[],OK,[],
EVT-000033,2026-03-03T06:34:09.000Z,SUV-Z,VIN7258731893,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,38.9,,,SOP-GEN-0014,[],OK,[],
EVT-000034,2026-03-03T06:35:10.000Z,Sedan-X,VIN3309122187,POWERTRAIN_ST-05,WHEEL_LUG_NUT_FL,MANUAL_WRENCH,120,10,113.0,,,SOP-GEN-0022,[],OK,[],
EVT-000035,2026-03-03T06:35:59.000Z,SUV-Z,VIN2224011538,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,85.9,30.0,32.3,SOP-GEN-0006,[],OK,[],
EVT-000036,2026-03-03T06:37:26.000Z,Truck-T,VIN3849232839,POWERTRAIN_ST-05,WHEEL_LUG_NUT_FL,MANUAL_WRENCH,120,10,117.2,,,SOP-GEN-0022,[],OK,[],
EVT-000037,2026-03-03T06:38:03.000Z,SUV-Z,VIN3597724331,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,122.5,,,SOP-GEN-0070,[],OK,[],
EVT-000038,2026-03-03T06:38:44.000Z,Sedan-X,VIN9986353481,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.9,15.0,15.0,SOP-GEN-0020,[],OK,[],
EVT-000039,2026-03-03T06:39:59.000Z,SUV-Z,VIN8325785916,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,138.0,,,SOP-GEN-0026,[],OverTorque,"[""over_torque""]",
EVT-000040,2026-03-03T06:40:41.000Z,Truck-T,VIN3373077218,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,123.7,,,SOP-GEN-0070,[],OK,[],
EVT-000041,2026-03-03T06:41:23.000Z,Sedan-X,VIN9155819200,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,121.9,,,SOP-GEN-0026,[],OK,[],
EVT-000042,2026-03-03T06:42:01.000Z,Truck-T,VIN4218981849,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,118.4,,,SOP-GEN-0070,[],OK,[],
EVT-000043,2026-03-03T06:42:38.000Z,SUV-Z,VIN6360837474,FINAL_ASSY_ST-22,ENGINE_MOUNT_REAR_LEFT,MANUAL_WRENCH,85,5,86.0,30.0,32.4,SOP-GEN-0003,[],OK,[],
EVT-000044,2026-03-03T06:43:41.000Z,EV-Q,VIN1955345537,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,40.3,,,SOP-GEN-0014,[],OK,[],
EVT-000045,2026-03-03T06:44:41.000Z,Hatch-A,VIN7006365648,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,60.9,,,SOP-GEN-0031,[],OK,[],
EVT-000046,2026-03-03T06:45:21.000Z,Truck-T,VIN1118543408,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.2,15.0,12.7,SOP-GEN-0020,[],OK,[],
EVT-000047,2026-03-03T06:46:22.000Z,SUV-Z,VIN5791662169,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,44.9,15.0,13.9,SOP-GEN-0020,[],OK,[],
EVT-000048,2026-03-03T06:47:22.000Z,Sedan-X,VIN6141226746,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,118.9,,,SOP-GEN-0026,[],OK,[],
EVT-000049,2026-03-03T06:48:02.000Z,SUV-Z,VIN7473041886,POWERTRAIN_ST-05,SUSPENSION_ARM_BOLT_R,DC_GUN,100,5,98.9,,,SOP-GEN-0034,[],OK,[],
